iter	Passed	Remaining
0	66	66513
1	67	33472
2	67	22434
3	67	16904
4	68	13579
5	68	11393
6	69	9809
7	69	8619
8	69	7689
9	70	6949
10	70	6341
11	70	5834
12	71	5405
13	71	5038
14	71	4720
15	72	4441
16	72	4195
17	72	3975
18	73	3780
19	73	3602
20	73	3442
21	74	3296
22	74	3163
23	74	3042
24	75	2931
25	75	2827
26	75	2731
27	76	2642
28	76	2558
29	76	2481
30	77	2408
31	77	2340
32	77	2277
33	78	2218
34	78	2161
35	78	2107
36	79	2057
37	79	2008
38	79	1963
39	79	1919
40	80	1878
41	80	1838
42	80	1801
43	81	1765
44	81	1733
45	82	1701
46	82	1670
47	82	1640
48	83	1612
49	83	1585
50	83	1558
51	84	1533
52	84	1508
53	84	1485
54	85	1462
55	85	1440
56	85	1419
57	86	1399
58	86	1379
59	86	1360
60	87	1341
61	87	1323
62	87	1306
63	88	1289
64	88	1273
65	88	1256
66	89	1241
67	89	1224
68	89	1209
69	89	1195
70	90	1181
71	90	1167
72	90	1154
73	91	1141
74	91	1129
75	91	1117
76	92	1106
77	92	1094
78	92	1083
79	93	1073
80	93	1063
81	94	1053
82	94	1044
83	94	1035
84	95	1026
85	95	1018
86	96	1008
87	96	999
88	96	990
89	97	981
90	97	973
91	97	964
92	98	956
93	98	948
94	98	939
95	98	931
96	99	924
97	99	916
98	99	909
99	100	901
100	100	894
101	100	886
102	100	879
103	101	872
104	101	865
105	101	859
106	102	852
107	102	846
108	102	840
109	103	834
110	103	828
111	103	822
112	104	816
113	104	811
114	104	805
115	104	799
116	105	794
117	105	788
118	105	783
119	106	778
120	106	773
121	106	768
122	107	762
123	107	758
124	107	754
125	108	749
126	108	745
127	108	740
128	108	735
129	109	731
130	109	727
131	109	723
132	110	719
133	110	715
134	110	711
135	111	707
136	111	703
137	111	699
138	112	695
139	112	691
140	112	687
141	113	683
142	113	680
143	113	676
144	114	673
145	114	670
146	114	666
147	115	663
148	115	660
149	115	657
150	116	654
151	116	650
152	116	647
153	117	644
154	117	641
155	117	637
156	118	634
157	118	631
158	118	628
159	119	625
160	119	622
161	119	619
162	120	616
163	120	613
164	120	610
165	120	607
166	121	605
167	121	602
168	121	599
169	122	596
170	122	594
171	122	591
172	123	588
173	123	586
174	123	583
175	124	580
176	124	578
177	124	575
178	125	573
179	125	571
180	125	568
181	126	566
182	126	564
183	126	562
184	127	560
185	127	557
186	127	555
187	128	553
188	128	551
189	128	549
190	129	546
191	129	544
192	129	542
193	130	540
194	130	538
195	130	536
196	131	534
197	131	532
198	131	530
199	132	528
200	132	526
201	132	524
202	133	522
203	133	520
204	133	518
205	134	516
206	134	514
207	134	513
208	135	511
209	135	509
210	135	507
211	136	505
212	136	503
213	136	502
214	137	500
215	137	498
216	137	496
217	138	495
218	138	493
219	138	491
220	139	489
221	139	488
222	139	486
223	140	485
224	140	483
225	140	481
226	141	480
227	141	478
228	141	477
229	142	475
230	142	474
231	142	472
232	143	471
233	143	469
234	143	468
235	144	466
236	144	465
237	144	463
238	145	462
239	145	460
240	145	459
241	146	457
242	146	456
243	146	454
244	147	453
245	147	451
246	147	450
247	148	448
248	148	448
249	148	446
250	149	445
251	149	444
252	150	443
253	150	442
254	151	441
255	151	439
256	151	438
257	151	437
258	152	435
259	152	434
260	153	433
261	153	431
262	153	430
263	153	429
264	154	427
265	154	426
266	154	425
267	155	424
268	155	422
269	155	421
270	156	420
271	156	419
272	156	417
273	157	416
274	157	415
275	157	414
276	158	412
277	158	411
278	158	410
279	159	409
280	159	408
281	160	407
282	160	406
283	160	405
284	161	403
285	161	402
286	161	401
287	161	400
288	162	399
289	162	398
290	162	397
291	163	395
292	163	394
293	163	393
294	164	392
295	164	391
296	164	390
297	165	389
298	165	388
299	165	386
300	166	385
301	166	384
302	166	383
303	167	382
304	167	381
305	167	380
306	168	379
307	168	378
308	168	377
309	169	376
310	169	375
311	169	374
312	169	373
313	170	372
314	170	371
315	170	370
316	171	369
317	171	367
318	171	366
319	172	365
320	172	364
321	172	363
322	173	362
323	173	361
324	173	360
325	174	359
326	174	358
327	174	358
328	175	357
329	175	356
330	175	355
331	176	354
332	176	353
333	176	352
334	176	351
335	177	350
336	177	349
337	177	348
338	178	347
339	178	346
340	178	345
341	179	344
342	179	343
343	179	342
344	180	342
345	180	341
346	180	340
347	181	339
348	181	338
349	181	337
350	181	336
351	182	335
352	182	334
353	182	333
354	183	332
355	183	331
356	183	331
357	184	330
358	184	329
359	184	328
360	185	327
361	185	326
362	185	326
363	186	325
364	186	324
365	186	323
