iter	Passed	Remaining
0	65	65216
1	65	32794
2	66	21964
3	66	16544
4	66	13290
5	67	11122
6	67	9574
7	67	8410
8	68	7503
9	68	6776
10	68	6184
11	69	5690
12	69	5271
13	69	4912
14	70	4601
15	70	4332
16	70	4095
17	71	3883
18	71	3694
19	71	3523
20	72	3369
21	72	3228
22	73	3102
23	73	2985
24	73	2877
25	74	2778
26	74	2688
27	74	2603
28	75	2523
29	75	2449
30	76	2379
31	76	2314
32	76	2251
33	77	2192
34	77	2136
35	77	2083
36	78	2033
37	78	1985
38	78	1940
39	79	1898
40	79	1857
41	79	1818
42	80	1781
43	80	1746
44	80	1712
45	81	1680
46	81	1649
47	81	1619
48	81	1590
49	82	1565
50	82	1539
51	83	1517
52	83	1494
53	83	1470
54	84	1448
55	84	1426
56	84	1405
57	85	1385
58	85	1366
59	85	1347
60	86	1328
61	86	1310
62	86	1293
63	87	1276
64	87	1260
65	87	1244
66	88	1228
67	88	1213
68	88	1198
69	89	1184
70	89	1170
71	89	1157
72	90	1144
73	90	1131
74	90	1118
75	91	1107
76	91	1095
77	91	1083
78	91	1072
79	92	1061
80	92	1050
81	92	1039
82	93	1028
83	93	1018
84	93	1008
85	94	999
86	94	990
87	94	981
88	94	972
89	95	963
90	95	955
91	95	946
92	96	939
93	96	932
94	97	925
95	97	917
96	97	909
97	98	902
98	98	895
99	98	888
100	98	881
101	99	874
102	99	867
103	99	860
104	100	854
105	100	847
106	100	841
107	101	835
108	101	829
109	101	823
110	102	817
111	102	811
112	102	806
113	103	800
114	103	795
115	103	789
116	103	784
117	104	778
118	104	773
119	104	768
120	105	763
121	105	758
122	105	753
123	105	748
124	106	744
125	106	739
126	106	734
127	107	730
128	107	725
129	107	721
130	108	717
131	108	712
132	108	708
133	109	704
134	109	700
135	109	696
136	109	692
137	110	688
138	110	684
139	110	681
140	111	677
141	111	673
142	111	670
143	112	666
144	112	663
145	112	659
146	113	656
147	113	653
148	113	649
149	114	646
150	114	643
151	114	640
152	115	637
153	115	634
154	115	631
155	116	628
156	116	625
157	116	622
158	117	619
159	117	616
160	117	612
161	117	609
162	118	606
163	118	604
164	118	601
165	119	598
166	119	595
167	119	593
168	120	590
169	120	587
170	120	585
171	121	582
172	121	580
173	121	577
174	121	575
175	122	572
176	122	570
177	122	567
178	123	565
179	123	562
180	123	560
181	124	558
182	124	555
183	124	553
184	125	550
185	125	548
186	125	546
187	126	544
188	126	542
189	126	540
190	127	538
191	127	536
192	127	534
193	128	532
194	128	530
195	128	527
196	129	525
197	129	523
198	129	521
199	129	519
200	130	517
201	130	515
202	130	513
203	131	511
204	131	510
205	131	508
206	132	506
207	132	504
208	132	502
209	133	500
210	133	498
211	133	496
212	134	495
213	134	493
214	134	491
215	134	489
216	135	488
217	135	486
218	135	484
219	136	482
220	136	480
221	136	479
222	137	477
223	137	475
224	137	474
225	137	472
226	138	471
227	138	469
228	138	467
229	139	466
230	139	464
231	139	463
232	140	461
233	140	459
234	140	458
235	141	456
236	141	455
237	141	453
238	142	452
239	142	450
240	142	449
241	143	448
242	143	446
243	143	445
244	144	444
245	144	442
246	144	441
247	145	439
248	145	438
249	145	437
250	146	435
251	146	434
252	146	433
253	147	432
254	147	430
255	147	429
256	148	428
257	148	426
258	148	425
259	149	424
260	149	422
261	149	421
262	149	420
263	150	419
264	150	417
265	150	416
266	151	415
267	151	413
268	151	412
269	152	411
270	152	410
271	152	408
272	153	407
273	153	406
274	153	405
275	153	403
276	154	402
277	154	401
278	154	400
279	155	399
280	155	398
281	155	396
282	156	395
283	156	394
284	156	393
285	157	392
286	157	391
287	157	390
288	158	389
289	158	388
290	158	387
291	159	385
292	159	384
293	159	383
294	160	382
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	161	376
301	162	375
302	162	374
303	162	373
304	163	371
305	163	370
306	163	369
307	164	368
308	164	367
309	164	366
310	165	365
311	165	364
312	165	363
313	166	362
314	166	361
315	166	360
316	166	359
317	167	358
318	167	357
319	167	356
320	168	355
321	168	354
322	168	353
323	169	352
324	169	351
325	169	350
326	170	349
327	170	349
328	170	348
329	170	347
330	171	346
331	171	345
332	172	344
333	172	343
334	172	342
335	173	342
336	173	341
337	173	340
338	174	339
339	174	338
340	174	337
341	174	336
342	175	335
343	175	334
344	175	333
345	176	332
346	176	332
347	176	331
348	177	330
349	177	329
350	177	328
351	177	327
352	178	326
353	178	325
354	178	325
355	179	324
356	179	323
357	179	322
358	180	321
359	180	320
360	180	319
361	181	319
362	181	318
363	181	317
364	182	316
365	182	315
366	182	314
367	182	314
368	183	313
369	183	312
370	183	311
371	184	310
372	184	310
373	184	309
374	185	308
375	185	307
376	185	306
377	186	306
378	186	305
379	186	304
380	187	303
381	187	303
382	187	302
383	188	301
384	188	300
385	188	300
386	188	299
387	189	298
388	189	297
389	189	297
390	190	296
391	190	295
392	190	294
393	191	294
394	191	293
395	191	292
396	192	291
397	192	291
398	192	290
399	193	289
400	193	288
401	193	288
402	194	287
403	194	286
404	194	286
405	194	285
406	195	284
407	195	283
408	195	283
409	196	282
410	196	281
411	196	280
412	197	280
413	197	279
414	197	278
415	198	278
416	198	277
417	198	276
418	199	276
419	199	275
420	199	274
421	200	274
422	200	273
423	200	272
424	201	271
425	201	271
426	201	270
427	202	270
428	202	269
429	202	268
430	203	268
431	203	267
432	203	266
433	204	266
434	204	265
435	204	264
436	204	264
